Member_number,Date,itemDescription,Item Expiration
1808,21/07/2015,tropical fruit,21/10/2024
2552,05/01/2015,whole milk,05/04/2024
2300,19/09/2015,pip fruit,19/12/2024
1187,12/12/2015,other vegetables,12/03/2025
3037,01/02/2015,whole milk,01/05/2024
4941,14/02/2015,rolls/buns,14/05/2024
4501,08/05/2015,other vegetables,08/08/2024
3803,23/12/2015,pot plants,23/03/2025
2762,20/03/2015,whole milk,20/06/2024
4119,12/02/2015,tropical fruit,12/05/2024
1340,24/02/2015,citrus fruit,24/05/2024
2193,14/04/2015,beef,14/07/2024
1997,21/07/2015,frankfurter,21/10/2024
4546,03/09/2015,chicken,03/12/2024
4736,21/07/2015,butter,21/10/2024
1959,30/03/2015,fruit/vegetable juice,30/06/2024
1974,03/05/2015,packaged fruit/vegetables,03/08/2024
2421,02/09/2015,chocolate,02/12/2024
1513,03/08/2015,specialty bar,03/11/2024
1905,07/07/2015,other vegetables,07/10/2024
2810,08/09/2015,butter milk,08/12/2024
2867,12/11/2015,whole milk,12/02/2025
3962,18/09/2015,tropical fruit,18/12/2024
1088,30/11/2015,tropical fruit,02/03/2025
4976,17/07/2015,bottled water,17/10/2024
4056,12/06/2015,yogurt,12/09/2024
3611,13/02/2015,sausage,13/05/2024
1420,14/01/2015,other vegetables,14/04/2024
4286,08/03/2015,brown bread,08/06/2024
4918,27/01/2015,yogurt,27/04/2024
4783,22/10/2015,hamburger meat,22/01/2025
3709,26/10/2015,root vegetables,26/01/2025
4289,08/10/2015,pork,08/01/2025
1559,03/10/2015,beef,03/01/2025
2900,11/04/2015,pastry,11/07/2024
1905,21/02/2015,fruit/vegetable juice,21/05/2024
3527,29/09/2015,canned beer,29/12/2024
1495,09/01/2015,root vegetables,09/04/2024
3558,03/04/2015,citrus fruit,03/07/2024
3128,20/04/2015,sausage,20/07/2024
1863,04/08/2015,tropical fruit,04/11/2024
3841,19/07/2015,berries,19/10/2024
3903,06/10/2015,canned beer,06/01/2025
2658,16/10/2015,butter milk,16/01/2025
4272,06/06/2015,coffee,06/09/2024
1120,26/09/2015,pastry,26/12/2024
2676,15/08/2015,rolls/buns,15/11/2024
1697,21/05/2015,misc. beverages,21/08/2024
2507,25/08/2015,root vegetables,25/11/2024
4620,11/03/2015,sausage,11/06/2024
3365,01/02/2015,canned beer,01/05/2024
2978,05/06/2015,ham,05/09/2024
2910,28/07/2015,turkey,28/10/2024
1061,05/09/2015,whole milk,05/12/2024
3276,03/04/2015,whole milk,03/07/2024
1326,19/06/2015,packaged fruit/vegetables,19/09/2024
3023,28/07/2015,rolls/buns,28/10/2024
2185,11/10/2015,ham,11/01/2025
3552,16/06/2015,rolls/buns,16/09/2024
1967,20/01/2015,other vegetables,20/04/2024
4708,20/03/2015,sausage,20/06/2024
2874,15/02/2015,sausage,15/05/2024
4177,13/04/2015,frankfurter,13/07/2024
1663,07/02/2015,rolls/buns,07/05/2024
2632,02/03/2015,whole milk,02/06/2024
1377,14/03/2015,curd cheese,14/06/2024
4162,22/12/2015,red/blush wine,22/03/2025
2270,01/07/2015,sausage,01/10/2024
4829,03/11/2015,tropical fruit,03/02/2025
3811,14/04/2015,red/blush wine,14/07/2024
4766,29/09/2015,whole milk,29/12/2024
2436,12/04/2015,frankfurter,12/07/2024
3860,05/05/2015,whole milk,05/08/2024
4875,12/05/2015,frozen potato products,12/08/2024
1587,01/07/2015,other vegetables,01/10/2024
4038,08/07/2015,citrus fruit,08/10/2024
4750,21/09/2015,flour,21/12/2024
1199,10/12/2015,sugar,10/03/2025
1603,30/09/2015,frozen meals,30/12/2024
3111,31/01/2015,chocolate,01/05/2024
3894,13/12/2015,root vegetables,13/03/2025
1456,18/09/2015,root vegetables,18/12/2024
2022,04/03/2015,herbs,04/06/2024
2505,30/11/2015,bottled water,02/03/2025
4851,20/12/2015,sausage,20/03/2025
4293,04/08/2015,coffee,04/11/2024
2775,06/11/2015,pork,06/02/2025
3693,18/02/2015,berries,18/05/2024
1202,22/07/2015,soda,22/10/2024
3699,23/08/2015,berries,23/11/2024
4152,15/04/2015,fruit/vegetable juice,15/07/2024
4155,26/01/2015,citrus fruit,26/04/2024
4010,29/12/2015,pork,29/03/2025
4389,20/10/2015,detergent,20/01/2025
3746,17/08/2015,grapes,17/11/2024
2560,17/05/2015,sausage,17/08/2024
1503,25/07/2015,chicken,25/10/2024
2555,23/12/2015,whole milk,23/03/2025
3645,12/12/2015,citrus fruit,12/03/2025
3886,11/09/2015,soda,11/12/2024
2932,20/03/2015,sausage,20/06/2024
1711,18/06/2015,frankfurter,18/09/2024
4291,08/12/2015,sausage,08/03/2025
1143,25/04/2015,soda,25/07/2024
4564,08/07/2015,rolls/buns,08/10/2024
3337,14/05/2015,beef,14/08/2024
4931,04/05/2015,whole milk,04/08/2024
2623,10/10/2015,processed cheese,10/01/2025
4581,03/04/2015,tropical fruit,03/07/2024
2635,11/06/2015,frankfurter,11/09/2024
1095,30/10/2015,packaged fruit/vegetables,30/01/2025
2990,23/05/2015,whole milk,23/08/2024
2426,05/06/2015,berries,05/09/2024
4555,07/11/2015,citrus fruit,07/02/2025
3635,04/09/2015,tropical fruit,04/12/2024
3058,18/05/2015,hamburger meat,18/08/2024
4391,26/03/2015,hamburger meat,26/06/2024
1306,23/06/2015,whole milk,23/09/2024
1024,10/08/2015,fish,10/11/2024
1295,23/07/2015,frankfurter,23/10/2024
1661,01/06/2015,packaged fruit/vegetables,01/09/2024
